9,Lisandro Martinez,23,Defensa central,Argentino,No convocado
10,Marcos Senesi,24,Defensa central,Argentino,No convocado
11,Lucas Martinez Quarta,25,Defensa central,Argentino,No convocado
12,Facundo Medina,22,Defensa central,Argentino,No convocado
13,Nicolas Otamendi,33,Defensa central,Argentino,No convocado
14,German Pezzella,30,Defensa central,Argentino,No convocado
15,Walter Kannemann,30,Defensa central,Argentino,No convocado
16,Nehuen Perez,21,Defensa central,Argentino,No convocado
17,Nicolas Tagliafico,28,Lateral izquierdo,Argentino,No convocado
18,Marcos Acuna,29,Lateral izquierdo,Argentino,No convocado
19,Gonzalo Montiel,24,Lateral derecho,Argentino,No convocado
20,Juan Foyth ,23,Lateral derecho,Argentino,No convocado
21,Nahuel Molina,23,Lateral derecho,Argentino,No convocado
22,Guido Rodriguez,27,Pivote,Argentino,No convocado
23,Leandro Paredes ,27,Pivote,Argentino,No convocado
24,Rodrigo De Paul,27,Mediocentro,Argentino,No convocado
25,Giovani Lo Celso,25,Mediocentro,Argentino,No convocado
26,Exequiel Palacios,22,Mediocentro,Argentino,No convocado
27,Nicolas Dominguez,23,Mediocentro,Argentino,No convocado
28,Alexis Mac Allister,22,Mediocentro,Argentino,No convocado
29,Manuel Lanzini,28,Mediocentro ofensivo,Argentino,No convocado
30,Lucas Ocampos,26,Extremo izquierdo,Argentino,No convocado
31,Nicolas Gonzalez ,23,Extremo izquierdo,Argentino,No convocado
32,Papu Gomez,33,Extremo izquierdo,Argentino,No convocado
33,Angel Correa,26,Extremo derecho,Argentino,No convocado
34,Emiliano Buendia,24,Extremo derecho,Argentino,No convocado
35,Angel Di Maria ,33,Extremo derecho,Argentino,No convocado
36,Eduardo Salvio,30,Extremo derecho,Argentino,No convocado
37,Maximiliano Meza,28,Extremo derecho,Argentino,No convocado
38,Lionel Messi,34,Mediapunta,Argentino,Argentina
39,Paulo Dybala ,27,Mediapunta,Argentino,No convocado
40,Joaquin Correa,26,Mediapunta,Argentino,No convocado
41,Lautaro Martinez,23,Delantero centro,Argentino,No convocado
42,Lucas Alario,28,Delantero centro,Argentino,No convocado
43,Sergio Aguero,33,Delantero centro,Argentino,No convocado
44,Julian Alvarez,21,Delantero centro,Argentino,No convocado
45,Giovanni Simeone,25,Delantero centro,Argentino,No convocado
46,Lucas Boye,25,Delantero centro,Argentino,No convocado
47,Alisson,30,Portero,Brasilero,No convocado
48,Ederson,29,Portero,Brasilero,No convocado
49,Weverton,34,Portero,Brasilero,No convocado
50,Marquinhos,28,Defensa central,Brasilero,No convocado
51,Eder Militao,24,Defensa central,Brasilero,No convocado
52,Bremer ,25,Defensa central,Brasilero,No convocado
53,Roger Ibanez,23,Defensa central,Brasilero,No convocado
54,Thiago Silva,38,Defensa central,Brasilero,No convocado
55,Renan Lodi,24,Lateral izquierdo,Brasilero,No convocado
56,Alex Telles,29,Lateral izquierdo,Brasilero,No convocado
57,Danilo ,31,Lateral derecho,Brasilero,No convocado
58,Fabinho,29,Pivote,Brasilero,No convocado
59,Casemiro,30,Pivote,Brasilero,No convocado
60,Bruno Guimaraes,24,Pivote,Brasilero,No convocado
61,Fred,29,Mediocentro,Brasilero,No convocado
62,Everton Ribeiro,33,Mediocentro,Brasilero,No convocado
63,Lucas Paqueta,25,Mediocentro ofensivo,Brasilero,No convocado
64,Vinicius Junior,22,Extremo izquierdo,Brasilero,No convocado
65,Neymar ,30,Extremo izquierdo,Brasilero,No convocado
66,Antony,22,Extremo derecho,Brasilero,No convocado
67,Rodrygo,21,Extremo derecho,Brasilero,No convocado
68,Raphinha,25,Extremo derecho,Brasilero,No convocado
69,Richarlison ,25,Delantero centro,Brasilero,No convocado
70,Roberto Firmino,31,Delantero centro,Brasilero,No convocado
71,Matheus Cunha,23,Delantero centro,Brasilero,No convocado
72,Pedro,25,Delantero centro,Brasilero,No convocado
73,Sergio Rochet,29,Portero,Uruguayo,No convocado
74,Fernando Muslera,36,Portero,Uruguayo,No convocado
75,Sebastian Sosa,36,Portero,Uruguayo,No convocado
76,Ronald Araujo ,23,Defensa central,Uruguayo,No convocado
77,Agustin Rogel,25,Defensa central,Uruguayo,No convocado
78,Sebastian Caceres,23,Defensa central,Uruguayo,No convocado
79,Leandro Cabrera,31,Defensa central,Uruguayo,No convocado
80,Martin Caceres,35,Defensa central,Uruguayo,No convocado
81,Mathias Olivera,24,Lateral izquierdo,Uruguayo,No convocado
82,Matias Vina,24,Lateral izquierdo,Uruguayo,No convocado
83,Guillermo Varela,29,Lateral derecho,Uruguayo,No convocado
84,Damian Suarez,34,Lateral derecho,Uruguayo,No convocado
85,Lucas Torreira,26,Pivote,Uruguayo,No convocado
86,Manuel Ugarte,21,Pivote,Uruguayo,No convocado
87,Federico Valverde ,24,Mediocentro,Uruguayo,No convocado
88,Rodrigo Bentancur,25,Mediocentro,Uruguayo,No convocado
89,Nicolas De La Cruz ,25,Mediocentro,Uruguayo,No convocado
90,Matias Vecino,31,Mediocentro,Uruguayo,No convocado
91,Giorgian De Arrascaeta,28,Mediocentro ofensivo,Uruguayo,No convocado
92,Diego Rossi ,24,Extremo izquierdo,Uruguayo,No convocado
93,Agustin Canobbio,24,Extremo derecho,Uruguayo,No convocado
94,Facundo Pellistri,20,Extremo derecho,Uruguayo,No convocado
95,Brian Ocampo,23,Extremo derecho,Uruguayo,No convocado
96,Darwin Nunez,23,Delantero centro,Uruguayo,No convocado
97,Luis Suarez,35,Delantero centro,Uruguayo,No convocado
98,Martin Satriano,21,Delantero centro,Uruguayo,No convocado
99,Anthony Lopes,29,Portero,Portugues,No convocado
100,Rui Silva,26,Portero,Portugues,No convocado
101,Rui Patricio,32,Portero,Portugues,No convocado
102,Jose Sa,27,Portero,Portugues,No convocado
103,Diogo Costa,20,Portero,Portugues,No convocado
104,Bruno Varela,25,Portero,Portugues,No convocado
105,Ruben Dias,23,Defensa central,Portugues,No convocado
106,Domingos Duarte,25,Defensa central,Portugues,No convocado
107,Ruben Semedo,26,Defensa central,Portugues,No convocado
108,Luis Neto,32,Defensa central,Portugues,No convocado
109,Jose Fonte,36,Defensa central,Portugues,No convocado
110,Pepe,37,Defensa central,Portugues,No convocado
111,Raphael Guerreiro,26,Lateral izquierdo,Portugues,No convocado
112,Nuno Mendes,18,Lateral izquierdo,Portugues,No convocado
113,Mario Rui,29,Lateral izquierdo,Portugues,No convocado
114,Nuno Sequeira,29,Lateral izquierdo,Portugues,No convocado
115,Joao Cancelo,26,Lateral derecho,Portugues,No convocado
116,Nelson Semedo,26,Lateral derecho,Portugues,No convocado
117,Diogo Dalot,21,Lateral derecho,Portugues,No convocado
118,Cedric Soares,28,Lateral derecho,Portugues,No convocado
119,Ruben Neves,23,Pivote,Portugues,No convocado
120,Danilo Pereira,28,Pivote,Portugues,No convocado
121,Joao Palhinha,24,Pivote,Portugues,No convocado
122,William Carvalho,28,Pivote,Portugues,No convocado
123,Renato Sanches,22,Mediocentro,Portugues,No convocado
124,Andre Gomes,26,Mediocentro,Portugues,No convocado
125,Sergio Oliveira,28,Mediocentro,Portugues,No convocado
126,Joao Mario,27,Mediocentro,Portugues,No convocado
127,Matheus Nunes,21,Mediocentro,Portugues,No convocado
128,Joao Moutinho,33,Mediocentro,Portugues,No convocado
129,Otavio,25,Interior derecho,Portugues,No convocado
130,Bruno Fernandes,25,Mediocentro ofensivo,Portugues,No convocado
131,Bernardo Silva,25,Mediocentro ofensivo,Portugues,No convocado
132,Diogo Jota,23,Extremo izquierdo,Portugues,No convocado
133,Pedro Neto,20,Extremo izquierdo,Portugues,No convocado
134,Rafael Leao,21,Extremo izquierdo,Portugues,No convocado
135,Gonzalo Guedes,23,Extremo izquierdo,Portugues,No convocado
136,Pedro Gonzalves,22,Extremo izquierdo,Portugues,No convocado
137,Daniel Podence,24,Extremo derecho,Portugues,No convocado
138,Francisco Trincao,20,Extremo derecho,Portugues,No convocado
139,Joao Felix,20,Mediapunta,Portugues,No convocado
140,Rafa Silva,27,Mediapunta,Portugues,No convocado
141,Cristiano Ronaldo,35,Delantero centro,Portugues,No convocado
142,Andre Silva,24,Delantero centro,Portugues,No convocado
143,Paulinho,27,Delantero centro,Portugues,No convocado
144,Aaron Ramsdale,24,Portero,Ingles,No convocado
145,Dean Henderson,25,Portero,Ingles,No convocado
146,Nick Pope,30,Portero,Ingles,No convocado
147,Fikayo Tomori,24,Defensa central,Ingles,No convocado
148,Marc Guehi,22,Defensa central,Ingles,No convocado
149,Harry Maguire,29,Defensa central,Ingles,No convocado
150,John Stones,28,Defensa central,Ingles,No convocado
151,Eric Dier,28,Defensa central,Ingles,No convocado
152,Conor Coady,29,Defensa central,Ingles,No convocado
153,Ben Chilwell,25,Lateral izquierdo,Ingles,No convocado
154,Luke Shaw,27,Lateral izquierdo,Ingles,No convocado
155,Trent Alexander Arnold,24,Lateral derecho,Ingles,No convocado
156,Reece James,22,Lateral derecho,Ingles,No convocado
157,Kyle Walker,32,Lateral derecho,Ingles,No convocado
158,Kieran Trippier,32,Lateral derecho,Ingles,No convocado
159,Declan Rice,23,Pivote,Ingles,No convocado
160,Kalvin Phillips,26,Pivote,Ingles,No convocado
161,Phil Foden,22,Mediocentro,Ingles,No convocado
162,Jude Bellingham,19,Mediocentro,Ingles,No convocado
163,James Ward Prowse,27,Mediocentro,Ingles,No convocado
164,Jordan Henderson,32,Mediocentro,Ingles,No convocado
165,Bukayo Saka,21,Interior derecho,Ingles,No convocado
166,Mason Mount,23,Mediocentro ofensivo,Ingles,No convocado
167,Raheem Sterling,27,Extremo izquierdo,Ingles,No convocado
168,Jack Grealish,27,Extremo izquierdo,Ingles,No convocado
169,Jarrod Bowen,25,Extremo derecho,Ingles,No convocado
170,Harry Kane,29,Delantero centro,Ingles,No convocado
171,Tammy Abraham,25,Delantero centro,Ingles,No convocado
172,Ivan Toney,26,Delantero centro,Ingles,No convocado
173,Antonio Rudiger,29,Defensa central,Aleman,No convocado
174,Armel Bella Kotchap ,20,Defensa central,Aleman,No convocado
175,Benjamin Henrichs,25,Lateral derecho,Aleman,No convocado
176,David Raum,24,Lateral izquierdo,Aleman,No convocado
177,Florian Neuhaus,23,Mediocentro,Aleman,No convocado
178,Ilkay Gundogan,32,Mediocentro,Aleman,No convocado
179,Jamal Musiala,19,Mediocentro ofensivo,Aleman,No convocado
180,Jonas Hofmann ,30,Extremo derecho,Aleman,No convocado
181,Joshua Kimmich,27,Pivote,Aleman,No convocado
182,Kai Havertz,23,Mediocentro ofensivo,Aleman,No convocado
183,Kevin Trapp,32,Portero,Aleman,No convocado
184,Leon Goretzka,25,Mediocentro,Aleman,No convocado
185,Leroy Sane ,26,Extremo izquierdo,Aleman,No convocado
